Starting the execution
Starting the execution
Function execution starts. 
Function execution starts.
Calling the create bucket function.
2022-09-27 01:16:46,084 | DEBUG | Starting the execution
2022-09-27 01:16:50,887 | DEBUG | Function execution starts. 
2022-09-27 01:16:50,887 | DEBUG | Function execution starts.
2022-09-27 01:17:03,735 | DEBUG | Calling the create bucket function.
2022-09-27 01:18:29,478 | DEBUG | Starting the execution
2022-09-27 01:18:34,223 | DEBUG | Function create_ execution starts.
2022-09-27 01:18:49,231 | DEBUG | Calling the create bucket function.
2022-09-27 01:19:04,233 | DEBUG | Starting the execution
2022-09-27 01:19:09,055 | DEBUG | Function create_ execution starts.
2022-09-27 01:19:22,744 | DEBUG | Function Executed Successfully.
2022-09-27 12:05:22,401 | DEBUG | Starting the execution
2022-09-27 12:05:27,178 | DEBUG | Function create_ execution starts.
2022-09-27 12:05:41,461 | DEBUG | Function Executed Successfully.
